sample_id	sample_file	batch
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_0cells_02_GE5	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_0cells_02_GE5	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_01_GB2	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_01_GB2	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_02_GB3	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_02_GB3	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_03_GB4	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_03_GB4	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_04_GB5	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_04_GB5	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_05_GB6	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_05_GB6	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_06_GB7	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_06_GB7	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_07_GB8	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_07_GB8	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_08_GB9	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_08_GB9	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_09_GB10	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_09_GB10	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_10_GB11	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_10_GB11	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_11_GB12	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_11_GB12	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_12_GB13	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_12_GB13	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_13_GB14	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_13_GB14	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_14_GB15	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_14_GB15	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_15_GB16	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_15_GB16	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_16_GB17	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_16_GB17	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_17_GB18	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_17_GB18	2
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_18_GB19	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_sc_18_GB19	2
