sample_id	sample_file	batch
SC_49_s1-e3_1_7856	SC_49_s1-e3_1_7856	4
SC_49_s2-e3_1_7662	SC_49_s2-e3_1_7662	2
SC_50_s1-e4_1_7566	SC_50_s1-e4_1_7566	1
SC_50_s1-e4_1_7760	SC_50_s1-e4_1_7760	3
SC_50_s1-e4_1_7857	SC_50_s1-e4_1_7857	4
SC_50_s2-e4_1_7663	SC_50_s2-e4_1_7663	2
SC_51_s1-e5_1_7567	SC_51_s1-e5_1_7567	1
SC_51_s1-e5_1_7761	SC_51_s1-e5_1_7761	3
SC_51_s1-e5_1_7858	SC_51_s1-e5_1_7858	4
SC_51_s2-e5_1_7664	SC_51_s2-e5_1_7664	2
SC_52_s1-e6_1_7568	SC_52_s1-e6_1_7568	1
SC_52_s1-e6_1_7762	SC_52_s1-e6_1_7762	3
SC_52_s1-e6_1_7859	SC_52_s1-e6_1_7859	4
SC_52_s2-e6_1_7665	SC_52_s2-e6_1_7665	2
SC_53_s1-e7_1_7569	SC_53_s1-e7_1_7569	1
SC_53_s1-e7_1_7763	SC_53_s1-e7_1_7763	3
SC_53_s1-e7_1_7860	SC_53_s1-e7_1_7860	4
SC_53_s2-e7_1_7666	SC_53_s2-e7_1_7666	2
SC_54_s1-e8_1_7570	SC_54_s1-e8_1_7570	1
SC_54_s1-e8_1_7764	SC_54_s1-e8_1_7764	3
SC_54_s1-e8_1_7861	SC_54_s1-e8_1_7861	4
SC_54_s2-e8_1_7667	SC_54_s2-e8_1_7667	2
SC_55_s1-e9_1_7571	SC_55_s1-e9_1_7571	1
SC_55_s1-e9_1_7765	SC_55_s1-e9_1_7765	3
SC_55_s1-e9_1_7862	SC_55_s1-e9_1_7862	4
SC_55_s2-e9_1_7668	SC_55_s2-e9_1_7668	2
SC_56_s1-e10_1_7572	SC_56_s1-e10_1_7572	1
SC_56_s1-e10_1_7766	SC_56_s1-e10_1_7766	3
SC_56_s1-e10_1_7863	SC_56_s1-e10_1_7863	4
SC_56_s2-e10_1_7669	SC_56_s2-e10_1_7669	2
SC_57_s1-e11_1_7573	SC_57_s1-e11_1_7573	1
SC_57_s1-e11_1_7767	SC_57_s1-e11_1_7767	3
SC_57_s1-e11_1_7864	SC_57_s1-e11_1_7864	4
SC_57_s2-e11_1_7670	SC_57_s2-e11_1_7670	2
SC_58_s1-e12_1_7574	SC_58_s1-e12_1_7574	1
SC_58_s1-e12_1_7768	SC_58_s1-e12_1_7768	3
SC_58_s1-e12_1_7865	SC_58_s1-e12_1_7865	4
SC_58_s2-e12_1_7671	SC_58_s2-e12_1_7671	2
SC_59_s1-f1_1_7575	SC_59_s1-f1_1_7575	1
SC_59_s1-f1_1_7769	SC_59_s1-f1_1_7769	3
SC_59_s1-f1_1_7866	SC_59_s1-f1_1_7866	4
SC_59_s2-f1_1_7672	SC_59_s2-f1_1_7672	2
SC_60_s1-f2_1_7576	SC_60_s1-f2_1_7576	1
SC_60_s1-f2_1_7770	SC_60_s1-f2_1_7770	3
SC_60_s1-f2_1_7867	SC_60_s1-f2_1_7867	4
SC_60_s2-f2_1_7673	SC_60_s2-f2_1_7673	2
SC_61_s1-f3_1_7577	SC_61_s1-f3_1_7577	1
SC_61_s1-f3_1_7771	SC_61_s1-f3_1_7771	3
SC_61_s1-f3_1_7868	SC_61_s1-f3_1_7868	4
SC_61_s2-f3_1_7674	SC_61_s2-f3_1_7674	2
SC_62_s1-f4_1_7578	SC_62_s1-f4_1_7578	1
SC_62_s1-f4_1_7772	SC_62_s1-f4_1_7772	3
SC_62_s1-f4_1_7869	SC_62_s1-f4_1_7869	4
SC_62_s2-f4_1_7675	SC_62_s2-f4_1_7675	2
SC_63_s1-f5_1_7579	SC_63_s1-f5_1_7579	1
SC_63_s1-f5_1_7773	SC_63_s1-f5_1_7773	3
SC_63_s1-f5_1_7870	SC_63_s1-f5_1_7870	4
SC_63_s2-f5_1_7676	SC_63_s2-f5_1_7676	2
SC_64_s1-f6_1_7580	SC_64_s1-f6_1_7580	1
SC_64_s1-f6_1_7774	SC_64_s1-f6_1_7774	3
SC_64_s1-f6_1_7871	SC_64_s1-f6_1_7871	4
SC_64_s2-f6_1_7677	SC_64_s2-f6_1_7677	2
SC_65_s1-f7_1_7581	SC_65_s1-f7_1_7581	1
SC_65_s1-f7_1_7775	SC_65_s1-f7_1_7775	3
SC_65_s1-f7_1_7872	SC_65_s1-f7_1_7872	4
SC_65_s2-f7_1_7678	SC_65_s2-f7_1_7678	2
SC_66_s1-f8_1_7582	SC_66_s1-f8_1_7582	1
SC_66_s1-f8_1_7776	SC_66_s1-f8_1_7776	3
SC_66_s1-f8_1_7873	SC_66_s1-f8_1_7873	4
SC_66_s2-f8_1_7679	SC_66_s2-f8_1_7679	2
SC_67_s1-f9_1_7583	SC_67_s1-f9_1_7583	1
SC_67_s1-f9_1_7777	SC_67_s1-f9_1_7777	3
SC_67_s1-f9_1_7874	SC_67_s1-f9_1_7874	4
SC_67_s2-f9_1_7680	SC_67_s2-f9_1_7680	2
SC_68_s1-f10_1_7584	SC_68_s1-f10_1_7584	1
SC_68_s1-f10_1_7778	SC_68_s1-f10_1_7778	3
SC_68_s1-f10_1_7875	SC_68_s1-f10_1_7875	4
SC_68_s2-f10_1_7681	SC_68_s2-f10_1_7681	2
SC_69_s1-f11_1_7585	SC_69_s1-f11_1_7585	1
SC_69_s1-f11_1_7779	SC_69_s1-f11_1_7779	3
SC_69_s1-f11_1_7876	SC_69_s1-f11_1_7876	4
