sample_id	sample_file	batch
Evosep_WLBSC_362_021124	input\Evosep_WLBSC_362_021124.raw	8
Evosep_WLBSC_361_021124	input\Evosep_WLBSC_361_021124.raw	8
Evosep_WLBSC_360_021024	input\Evosep_WLBSC_360_021024.raw	8
Evosep_WLBSC_359_021024	input\Evosep_WLBSC_359_021024.raw	8
Evosep_WLBSC_358_021024	input\Evosep_WLBSC_358_021024.raw	8
Evosep_WLBSC_357_021024	input\Evosep_WLBSC_357_021024.raw	8
Evosep_WLBSC_355_021024	input\Evosep_WLBSC_355_021024.raw	8
Evosep_WLBSC_354_021024	input\Evosep_WLBSC_354_021024.raw	8
Evosep_WLBSC_350_021024	input\Evosep_WLBSC_350_021024.raw	8
Evosep_WLBSC_349_021024	input\Evosep_WLBSC_349_021024.raw	8
Evosep_WLBSC_347_021024	input\Evosep_WLBSC_347_021024.raw	8
Evosep_WLBSC_346_021024	input\Evosep_WLBSC_346_021024.raw	8
Evosep_WLBSC_344_021024	input\Evosep_WLBSC_344_021024.raw	8
Evosep_WLBSC_343_021024	input\Evosep_WLBSC_343_021024.raw	8
Evosep_WLBSC_341_021024	input\Evosep_WLBSC_341_021024.raw	8
Evosep_WLBSC_340_021024	input\Evosep_WLBSC_340_021024.raw	8
Evosep_WLBSC_339_021024	input\Evosep_WLBSC_339_021024.raw	8
Evosep_WLBSC_337_021024	input\Evosep_WLBSC_337_021024.raw	8
Evosep_WLBSC_336_021024	input\Evosep_WLBSC_336_021024.raw	8
Evosep_WLBSC_335_021024	input\Evosep_WLBSC_335_021024.raw	8
Evosep_WLBSC_334_021024	input\Evosep_WLBSC_334_021024.raw	8
Evosep_WLBSC_333_021024	input\Evosep_WLBSC_333_021024.raw	8
Evosep_WLBSC_329_021024	input\Evosep_WLBSC_329_021024.raw	8
Evosep_WLBSC_328_021024	input\Evosep_WLBSC_328_021024.raw	8
Evosep_WLBSC_327_021024	input\Evosep_WLBSC_327_021024.raw	8
Evosep_WLBSC_324_021024	input\Evosep_WLBSC_324_021024.raw	8
Evosep_WLBSC_323_021024	input\Evosep_WLBSC_323_021024.raw	8
Evosep_WLBSC_320_020924	input\Evosep_WLBSC_320_020924.raw	8
Evosep_WLBSC_319_020924	input\Evosep_WLBSC_319_020924.raw	8
Evosep_WLBSC_318_020924	input\Evosep_WLBSC_318_020924.raw	8
Evosep_WLBSC_317_020924	input\Evosep_WLBSC_317_020924.raw	8
Evosep_WLBSC_316_020924	input\Evosep_WLBSC_316_020924.raw	8
Evosep_WLBSC_315_020924	input\Evosep_WLBSC_315_020924.raw	8
Evosep_WLBSC_314_020924	input\Evosep_WLBSC_314_020924.raw	8
Evosep_WLBSC_312_020924	input\Evosep_WLBSC_312_020924.raw	8
Evosep_WLBSC_311_020924	input\Evosep_WLBSC_311_020924.raw	8
Evosep_WLBSC_310_020924	input\Evosep_WLBSC_310_020924.raw	8
Evosep_WLBSC_309_020924	input\Evosep_WLBSC_309_020924.raw	8
Evosep_WLBSC_307_020924	input\Evosep_WLBSC_307_020924.raw	8
Evosep_WLBSC_306_020924	input\Evosep_WLBSC_306_020924.raw	8
Evosep_WLBSC_305_020924	input\Evosep_WLBSC_305_020924.raw	8
Evosep_WLBSC_304_020924	input\Evosep_WLBSC_304_020924.raw	8
Evosep_WLBSC_298_020824	input\Evosep_WLBSC_298_020824.raw	8
Evosep_WLBSC_297_020824	input\Evosep_WLBSC_297_020824.raw	8
Evosep_WLBSC_296_020824	input\Evosep_WLBSC_296_020824.raw	8
Evosep_WLBSC_295_020824	input\Evosep_WLBSC_295_020824.raw	8
Evosep_WLBSC_294_020824	input\Evosep_WLBSC_294_020824.raw	8
Evosep_WLBSC_288_020824	input\Evosep_WLBSC_288_020824.raw	8
Evosep_WLBSC_287_020824	input\Evosep_WLBSC_287_020824.raw	8
Evosep_WLBSC_285_020824	input\Evosep_WLBSC_285_020824.raw	8
Evosep_WLBSC_284_020824	input\Evosep_WLBSC_284_020824.raw	8
Evosep_WLBSC_283_020824	input\Evosep_WLBSC_283_020824.raw	8
Evosep_WLBSC_279_020724	input\Evosep_WLBSC_279_020724.raw	8
Evosep_WLBSC_278_020724	input\Evosep_WLBSC_278_020724.raw	8
Evosep_WLBSC_277_020724	input\Evosep_WLBSC_277_020724.raw	8
Evosep_WLBSC_274_020724	input\Evosep_WLBSC_274_020724.raw	8
Evosep_WLBSC_271_020724	input\Evosep_WLBSC_271_020724.raw	8
Evosep_WLBSC_265_020724	input\Evosep_WLBSC_265_020724.raw	8
Evosep_WLBSC_264_020724	input\Evosep_WLBSC_264_020724.raw	8
Evosep_WLBSC_260_020624	input\Evosep_WLBSC_260_020624.raw	8
Evosep_WLBSC_258_020624	input\Evosep_WLBSC_258_020624.raw	8
Evosep_WLBSC_254_020624	input\Evosep_WLBSC_254_020624.raw	8
Evosep_WLBSC_253_020624	input\Evosep_WLBSC_253_020624.raw	8
Evosep_WLBSC_252_020624	input\Evosep_WLBSC_252_020624.raw	8
Evosep_WLBSC_249_020624	input\Evosep_WLBSC_249_020624.raw	8
Evosep_WLBSC_248_020624	input\Evosep_WLBSC_248_020624.raw	8
Evosep_WLBSC_242_020624	input\Evosep_WLBSC_242_020624.raw	8
Evosep_WLBSC_237_020624	input\Evosep_WLBSC_237_020624.raw	8
Evosep_WLBSC_232_020624	input\Evosep_WLBSC_232_020624.raw	8
Evosep_WLBSC_231_020624	input\Evosep_WLBSC_231_020624.raw	8
Evosep_WLBSC_230_020624	input\Evosep_WLBSC_230_020624.raw	8
Evosep_WLBSC_229_020624	input\Evosep_WLBSC_229_020624.raw	8
Evosep_WLBSC_228_020624	input\Evosep_WLBSC_228_020624.raw	8
Evosep_WLBSC_227_020624	input\Evosep_WLBSC_227_020624.raw	8
Evosep_WLBSC_223_020624	input\Evosep_WLBSC_223_020624.raw	8
Evosep_WLBSC_222_020624	input\Evosep_WLBSC_222_020624.raw	8
Evosep_WLBSC_221_020624	input\Evosep_WLBSC_221_020624.raw	8
Evosep_WLBSC_220_020524	input\Evosep_WLBSC_220_020524.raw	8
Evosep_WLBSC_218_020524	input\Evosep_WLBSC_218_020524.raw	8
Evosep_WLBSC_217_020524	input\Evosep_WLBSC_217_020524.raw	8
Evosep_WLBSC_216_020524	input\Evosep_WLBSC_216_020524.raw	8
Evosep_WLBSC_215_020524	input\Evosep_WLBSC_215_020524.raw	8
Evosep_WLBSC_211_020524	input\Evosep_WLBSC_211_020524.raw	8
Evosep_WLBSC_210_020524	input\Evosep_WLBSC_210_020524.raw	8
Evosep_WLBSC_209_020524	input\Evosep_WLBSC_209_020524.raw	8
Evosep_WLBSC_207_020524	input\Evosep_WLBSC_207_020524.raw	8
Evosep_WLBSC_206_020524	input\Evosep_WLBSC_206_020524.raw	8
Evosep_WLBSC_205_020524	input\Evosep_WLBSC_205_020524.raw	8
Evosep_WLBSC_204_020524	input\Evosep_WLBSC_204_020524.raw	8
Evosep_WLBSC_203_020524	input\Evosep_WLBSC_203_020524.raw	8
Evosep_WLBSC_202_020524	input\Evosep_WLBSC_202_020524.raw	8
Evosep_WLBSC_199_020524	input\Evosep_WLBSC_199_020524.raw	8
Evosep_WLBSC_195_020524	input\Evosep_WLBSC_195_020524.raw	8
Evosep_WLBSC_190_020524	input\Evosep_WLBSC_190_020524.raw	8
Evosep_WLBSC_189_020524	input\Evosep_WLBSC_189_020524.raw	8
Evosep_WLBSC_188_020524	input\Evosep_WLBSC_188_020524.raw	8
Evosep_WLBSC_187_020524	input\Evosep_WLBSC_187_020524.raw	8
Evosep_WLBSC_186_020524	input\Evosep_WLBSC_186_020524.raw	8
Evosep_WLBSC_183_020324	input\Evosep_WLBSC_183_020324.raw	9
Evosep_WLBSC_182_020324	input\Evosep_WLBSC_182_020324.raw	9
Evosep_WLBSC_177_020224	input\Evosep_WLBSC_177_020224.raw	9
Evosep_WLBSC_176_020224	input\Evosep_WLBSC_176_020224.raw	9
Evosep_WLBSC_174_020224	input\Evosep_WLBSC_174_020224.raw	9
Evosep_WLBSC_170_020224	input\Evosep_WLBSC_170_020224.raw	9
Evosep_WLBSC_167_020224	input\Evosep_WLBSC_167_020224.raw	9
Evosep_WLBSC_166_020224	input\Evosep_WLBSC_166_020224.raw	9
Evosep_WLBSC_164_020224	input\Evosep_WLBSC_164_020224.raw	9
Evosep_WLBSC_163_020224	input\Evosep_WLBSC_163_020224.raw	9
Evosep_WLBSC_157_020224	input\Evosep_WLBSC_157_020224.raw	9
Evosep_WLBSC_154_020224	input\Evosep_WLBSC_154_020224.raw	9
Evosep_WLBSC_153_020224	input\Evosep_WLBSC_153_020224.raw	9
Evosep_WLBSC_151_020224	input\Evosep_WLBSC_151_020224.raw	9
Evosep_WLBSC_147_020224	input\Evosep_WLBSC_147_020224.raw	9
Evosep_WLBSC_146_020224	input\Evosep_WLBSC_146_020224.raw	9
Evosep_WLBSC_145_020224	input\Evosep_WLBSC_145_020224.raw	9
Evosep_WLBSC_144_020224	input\Evosep_WLBSC_144_020224.raw	9
Evosep_WLBSC_143_020224	input\Evosep_WLBSC_143_020224.raw	9
Evosep_WLBSC_141_020224	input\Evosep_WLBSC_141_020224.raw	9
Evosep_WLBSC_140_020124	input\Evosep_WLBSC_140_020124.raw	9
Evosep_WLBSC_137_020124	input\Evosep_WLBSC_137_020124.raw	9
Evosep_WLBSC_135_020124	input\Evosep_WLBSC_135_020124.raw	9
Evosep_WLBSC_133_020124	input\Evosep_WLBSC_133_020124.raw	9
Evosep_WLBSC_131_020124	input\Evosep_WLBSC_131_020124.raw	9
Evosep_WLBSC_130_020124	input\Evosep_WLBSC_130_020124.raw	9
Evosep_WLBSC_129_020124	input\Evosep_WLBSC_129_020124.raw	9
Evosep_WLBSC_128_020124	input\Evosep_WLBSC_128_020124.raw	9
Evosep_WLBSC_127_020124	input\Evosep_WLBSC_127_020124.raw	9
